id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B00157GH8J,上海瑞金医院高架直升机场,交通设施服务;机场相关;直升机场,150106,瑞金二路197号门诊部24层楼顶,121.466879,31.210259,021-64370045,[],[],交通设施,上海市,上海市,黄浦区
BV10029707,徐家汇(地铁站),交通设施服务;地铁站;地铁站,150500,11号线;1号线;9号线,121.436603,31.195514,,[],[],交通设施,上海市,上海市,徐汇区
BV10025307,交通大学(地铁站),交通设施服务;地铁站;地铁站,150500,10号线;11号线,121.435253,31.202213,,[],[],交通设施,上海市,上海市,徐汇区
BV10039880,宜山路(地铁站),交通设施服务;地铁站;地铁站,150500,3号线;4号线;9号线,121.427194,31.186717,,[],[],交通设施,上海市,上海市,徐汇区
BV10025891,打浦桥(地铁站),交通设施服务;地铁站;地铁站,150500,9号线,121.468681,31.206309,,[],[],交通设施,上海市,上海市,黄浦区
BV10039972,虹桥路(地铁站),交通设施服务;地铁站;地铁站,150500,10号线;3号线;4号线,121.420814,31.197524,,[],[],交通设施,上海市,上海市,长宁区
BV10039861,肇嘉浜路(地铁站),交通设施服务;地铁站;地铁站,150500,7号线;9号线,121.450212,31.199436,,[],[],交通设施,上海市,上海市,徐汇区
BV10039881,嘉善路(地铁站),交通设施服务;地铁站;地铁站,150500,12号线;9号线,121.460704,31.202820,,[],[],交通设施,上海市,上海市,徐汇区
BV10039859,龙华中路(地铁站),交通设施服务;地铁站;地铁站,150500,12号线;7号线,121.457064,31.184379,,[],[],交通设施,上海市,上海市,徐汇区
BV10026004,上海体育馆(地铁站),交通设施服务;地铁站;地铁站,150500,1号线;4号线,121.437423,31.182813,,[],[],交通设施,上海市,上海市,徐汇区
BV10039860,东安路(地铁站),交通设施服务;地铁站;地铁站,150500,4号线;7号线,121.454897,31.190819,,[],[],交通设施,上海市,上海市,徐汇区
BV10039973,上海图书馆(地铁站),交通设施服务;地铁站;地铁站,150500,10号线,121.444363,31.207960,,[],[],交通设施,上海市,上海市,徐汇区
BV10039940,大木桥路(地铁站),交通设施服务;地铁站;地铁站,150500,12号线;4号线,121.463278,31.194057,,[],[],交通设施,上海市,上海市,徐汇区
BV10039894,衡山路(地铁站),交通设施服务;地铁站;地铁站,150500,1号线,121.446424,31.204528,,[],[],交通设施,上海市,上海市,徐汇区
BV10024941,上海游泳馆(地铁站),交通设施服务;地铁站;地铁站,150500,11号线,121.441424,31.179123,,[],[],交通设施,上海市,上海市,徐汇区
BV10024951,上海体育场(地铁站),交通设施服务;地铁站;地铁站,150500,(在建)23号线;4号线,121.443529,31.185605,,[],[],交通设施,上海市,上海市,徐汇区
BX10016312,交通大学地铁站7号口,交通设施服务;地铁站;出入口,150501,11号线,121.435151,31.202750,,[],[],交通设施,上海市,上海市,长宁区
BX10016160,徐家汇地铁站9号口,交通设施服务;地铁站;出入口,150501,1号线,121.438632,31.192281,,[],[],交通设施,上海市,上海市,徐汇区
BX10016061,宜山路地铁站5号口,交通设施服务;地铁站;出入口,150501,4号线,121.426159,31.188170,,[],[],交通设施,上海市,上海市,徐汇区
BX10016952,打浦桥地铁站1号口,交通设施服务;地铁站;出入口,150501,9号线,121.468704,31.207511,,[],[],交通设施,上海市,上海市,黄浦区
