id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B00155QX3E,汇佳桌游剧本咖啡馆(万体馆旗舰店),体育休闲服务;娱乐场所;棋牌室|餐饮服务;咖啡厅;咖啡厅,080306|050500,斜土路2899号(上海体育场地铁站3号口步行240米),121.441288,31.184643,18621781788,4.5,42.00,社交餐饮|体育休闲,上海市,上海市,徐汇区
B0G2AOD6F7,消失的密室(光启城店),餐饮服务;咖啡厅;咖啡厅|体育休闲服务;娱乐场所;娱乐场所,050500|080300,古宜路110-128号2层,121.425694,31.186278,13162555820,4.3,26.00,社交餐饮|体育休闲,上海市,上海市,徐汇区
B0FFF90GSL,上海市司法局老干部活动中心,体育休闲服务;休闲场所;休闲场所,080500,中山西路1538号,121.421871,31.187587,,[],[],生活服务|体育休闲,上海市,上海市,徐汇区
B0I2JU5601,上海飞机制造有限公司老干部活动室,体育休闲服务;休闲场所;休闲场所,080500,中山南二路988弄龙山新村21号丙,121.444840,31.183457,,[],[],生活服务|体育休闲,上海市,上海市,徐汇区
B0FFFGMWV3,光明食品有限公司老干部活动中心,体育休闲服务;休闲场所;休闲场所,080500,定西路710弄59、63号、67号云阳花苑59号楼,121.425566,31.207030,,[],[],生活服务|体育休闲,上海市,上海市,长宁区
B00154IBPC,上海市建设系统老干部活动室,体育休闲服务;休闲场所;休闲场所,080500,高安路57-1号附近(衡山路地铁站1号口步行210米),121.445966,31.202532,,[],[],生活服务|体育休闲,上海市,上海市,徐汇区
B0HRGN8UB0,上海房管局老干部活动中心,体育休闲服务;休闲场所;休闲场所,080500,,121.441660,31.211610,021-64711368,[],[],生活服务|体育休闲,上海市,上海市,徐汇区
B0K03R3PJC,棋葩棋牌(环贸店),体育休闲服务;娱乐场所;棋牌室,080306,复兴中路1199号A座503,121.458872,31.212709,18930825885,4.4,62.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0L1ZOOWG0,小乔台球棋牌俱乐部,体育休闲服务;运动场馆;台球厅,080113,泰康路288B1(打浦桥地铁站1号口步行60米),121.467977,31.207521,,4.4,[],生活服务|体育休闲,上海市,上海市,黄浦区
B0I1TZ74DO,赛奇艺棋牌,体育休闲服务;娱乐场所;棋牌室,080306,打浦路22号3楼(打浦桥地铁站2号口步行110米),121.469688,31.204883,13601881166,4.3,46.00,生活服务|体育休闲,上海市,上海市,黄浦区
B0JALB06A3,旗葩社·棋牌会所,体育休闲服务;娱乐场所;棋牌室,080306,徐家汇路与瑞金南路交叉口西北40米,121.466632,31.205266,021-64725635,4.3,60.00,生活服务|体育休闲,上海市,上海市,黄浦区
B00155IC2M,新新桌球棋牌(瑞金南路店),体育休闲服务;运动场馆;台球厅,080113,瑞金南路1海兴广场美食广场4层,121.467925,31.204625,,4.1,44.00,生活服务|体育休闲,上海市,上海市,黄浦区
B0KBSU8XCO,五星荟棋牌,体育休闲服务;娱乐场所;游戏厅,080305,襄阳南路485号2楼202室,121.458415,31.204552,13671959842,4.4,51.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0GKPHWCL6,桐乐汇棋牌室,体育休闲服务;娱乐场所;棋牌室,080306,肇嘉浜路333号2层(嘉善路地铁站5号口旁),121.460375,31.202075,13801680371,4.4,39.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0L6U70VUU,龙小主24H共享自助棋牌(斜土路店),体育休闲服务;娱乐场所;棋牌室,080306,斜土路1223号(之俊大厦主楼),121.464164,31.199526,19921248636,4.3,41.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0FFGPU6SA,永利汇雀牌,体育休闲服务;娱乐场所;棋牌室,080306,大木桥路360号3层(大木桥路地铁站4号口步行320米),121.462035,31.196736,021-64220588,4.3,47.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0HKG1LARX,棋葩棋牌(五洲国际大厦店),体育休闲服务;娱乐场所;棋牌室,080306,肇嘉浜路807号五洲国际大厦2001,121.447824,31.197905,13122881116,4.4,36.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0JA2AB74Y,隐月湖,体育休闲服务;娱乐场所;棋牌室,080306,枫林路街道小木桥路608号,121.461863,31.190763,13381763548,4.3,67.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0K2NS2TON,稻荷日麻社,体育休闲服务;娱乐场所;游戏厅,080305,肇嘉浜路807路五洲国际大厦2402,121.447840,31.197827,18131837736,4.4,42.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0H35R40SM,雀燊棋牌(长峰中心店),体育休闲服务;娱乐场所;棋牌室,080306,延安西路1088号长峰中心F4层,121.430865,31.211660,021-55966333;13072131131,4.3,57.00,生活服务|体育休闲,上海市,上海市,长宁区
B0I3VMD6MA,雀王棋牌俱乐部(徐汇一店),体育休闲服务;娱乐场所;棋牌室,080306,徐家汇天钥桥路93号7楼(交通银行侧边),121.441837,31.193124,13162625981,4.4,66.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0G2M1Z21Y,星雀汇棋牌室,体育休闲服务;娱乐场所;棋牌室,080306,枫林路街道宛平南路389弄1-3号辉煌公寓,121.448146,31.190981,021-64229989;15001876786,4.4,49.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0LDL7LWI5,君安·棋牌·茶馆(徐家汇店),体育休闲服务;娱乐场所;棋牌室,080306,南丹东路255号6楼(徐家汇地铁站2号口步行130米),121.438761,31.189435,15618777686,4.5,75.00,生活服务|体育休闲|独处品质空间,上海市,上海市,徐汇区
B0FFH15V75,休闲棋牌(龙华中路),体育休闲服务;娱乐场所;棋牌室,080306,龙华中路与枫林路交叉口东北160米,121.462858,31.187358,15000042281,4.5,55.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0JD6L45Q1,濠雀荟棋牌(南丹东路店),体育休闲服务;娱乐场所;棋牌室,080306,南丹东路108号4楼,121.442563,31.189813,19821889100,4.4,48.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0JRM5J62X,听三万棋牌室(尚海湾3期尚湾里店),体育休闲服务;娱乐场所;棋牌室,080306,凯滨路38号阳光滨江天地尚湾里LG层D11-1靠近花园广场,121.461376,31.180933,19301138368,4.4,65.00,生活服务|体育休闲,上海市,上海市,徐汇区
B0KARMETYS,龙小主24H共享棋牌(上生新所店),体育休闲服务;娱乐场所;棋牌室,080306,延安西路1228弄2号嘉利大厦16C,121.427928,31.209700,,4.3,28.00,生活服务|体育休闲,上海市,上海市,长宁区
