id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0J2RMN5VH,徐家汇街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,广元西路349号,121.431706,31.194506,021-64478614;021-64479206,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B00155BWFZ,枫林街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,双峰路450号,121.449105,31.180090,021-64399271;021-64399667,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B00151F3C4,天平街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,太原路110号,121.454653,31.206818,021-64319642;021-64335912,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B00156EHKU,斜土街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,零陵北路2号(大木桥路地铁站1号口步行380米),121.464510,31.196600,021-64042727,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B0015548FV,新华街道社区卫生服务中心,医疗保健服务;综合医院;卫生院,090102,华山路1467(交通大学地铁站6号口步行410米),121.433634,31.206173,,[],[],生活服务|医疗保健,上海市,上海市,长宁区
B0FFH7FKR2,上海市徐汇区枫林街道社区卫生服务中心谨斜社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,斜土路2167弄10号,121.449242,31.193614,15299764623,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B001522E17,南丹社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,徐虹路112弄11号,121.431549,31.190108,,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B00155MV5B,广元社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,广元路150号,121.440042,31.199408,021-62825982,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B0JRCZ21R5,徐汇新村社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,蒲汇塘路68号(上海体育馆地铁站1号口步行470米),121.435663,31.186037,021-64693944,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B00155QIV0,中泰社区卫生服务站(上海市新黄浦区市民求助中心西),医疗保健服务;综合医院;卫生院,090102,瑞金二路410弄13-3号(打浦桥地铁站4号口步行250米),121.465884,31.206847,021-64330871,[],[],生活服务|医疗保健,上海市,上海市,黄浦区
B00156NY53,新华街道社区卫生服务中心红庄社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,淮海西路62号(交通大学地铁站5号口旁),121.433581,31.201772,,[],[],生活服务|医疗保健,上海市,上海市,长宁区
B0LG716JP1,上海市长宁区新华街道社区卫生服务中心康复中心,医疗保健服务;综合医院;卫生院,090102,番禺路222弄与安西路交叉口南80米,121.426675,31.206125,,[],[],生活服务|医疗保健,上海市,上海市,长宁区
B0JUZAB7MJ,天龙社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,天钥新村125号,121.448035,31.184235,021-64688516,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B0FFH166OS,复旦大学上海医学院枫林街道社区卫生服务中心门诊楼,医疗保健服务;综合医院;卫生院,090102,枫林街道社区卫生服务中心东北门旁,121.449401,31.180150,,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B0FFFZSFRJ,梧桐社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,建国西路253-1号(嘉善路地铁站2号口步行470米),121.460908,31.205894,021-64459143,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B00155LZ4O,陕建社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,陕西南路271弄25号,121.462623,31.208107,,[],[],生活服务|医疗保健,上海市,上海市,黄浦区
B0LB4DF0KQ,上海市徐汇区枫林街道社区卫生服务中心西木社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,小木桥路368-5号(大木桥路地铁站3号口步行440米),121.459425,31.195279,,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B0KG1U5Z2M,宛平社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,双峰路430号,121.449324,31.180073,,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B0K30AUY89,斜土街道清真社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,医学院路52号(嘉善路地铁站4号口步行440米),121.457901,31.200022,,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B00155LADB,上海市徐汇区田林街道社区卫生服务中心吴东社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,吴中东路500弄4-3号,121.421885,31.191189,,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
B0KDPL9HAW,上影社区卫生服务站,医疗保健服务;综合医院;卫生院,090102,大木桥路41弄1号(嘉善路地铁站4号口步行330米),121.461947,31.198739,,[],[],生活服务|医疗保健,上海市,上海市,徐汇区
