id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0FFJA28LX,IM Shanghai长宁国际,商务住宅;楼宇;商住两用楼宇|购物服务;商场;普通商场,120203|060102,凯旋路1398号(虹桥路地铁站1号口步行200米),121.421507,31.199061,15000914929;18221922803,4.7,[],购物菜场|金融住宿政府|商务产业,上海市,上海市,长宁区
B00155ITJ1,武康大楼,商务住宅;住宅区;住宅小区,120302,湖南路街道淮海中路1850号,121.438278,31.204430,,4.8,[],文化地标|风景名胜|金融住宿政府|商务产业,上海市,上海市,徐汇区
B00156F6E5,光启城,商务住宅;楼宇;商住两用楼宇,120203,宜山路455号,121.428514,31.183919,021-34695522;021-60406666,4.7,[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155NEVL,龙之梦大厦(延安西路),商务住宅;楼宇;商务写字楼,120201,延安西路1118号,121.430331,31.210834,021-61159797,[],[],金融住宿政府|商务产业,上海市,上海市,长宁区
B0FFFWQCZT,复兴西路洋房,商务住宅;住宅区;住宅小区,120302,淮海中路与复兴西路交叉口北140米,121.447481,31.211748,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155B6PO,慎成里,商务住宅;住宅区;住宅小区,120302,永嘉路291弄1-90号,121.458896,31.208504,,[],89308.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B00156OBR9,中金国际广场,商务住宅;楼宇;商务写字楼,120201,漕溪北路339号(徐家汇地铁站4号口旁),121.438835,31.190673,021-61262588,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFLDQT2J,徐家汇中心,商务住宅;楼宇;商务写字楼,120201,虹桥路183号(徐家汇地铁站19号口旁),121.434406,31.194219,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00150FD1B,海兴广场,商务住宅;楼宇;商务写字楼,120201,瑞金南路1号(近徐家汇路)(打浦桥地铁站3号口步行170米),121.467730,31.204413,021-64180486,[],39262.00,金融住宿政府|商务产业,上海市,上海市,黄浦区
B00155L3LZ,亚都国际名园,商务住宅;住宅区;住宅小区,120302,慈云街(徐家汇地铁站2号口步行140米),121.437833,31.187918,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFK8TSP9,尚海湾豪庭,商务住宅;住宅区;住宅小区,120302,凯滨路与瑞宁路交叉口东南180米,121.460283,31.179931,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B001530748,汇嘉大厦,商务住宅;楼宇;商务写字楼,120201,漕溪北路41号(徐家汇地铁站9号口步行100米),121.439422,31.192153,,4.6,42707.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B00157HFPS,绿地中心2期,商务住宅;楼宇;商务写字楼,120201,东安路562号(龙华中路地铁站6号口步行190米),121.457531,31.184298,021-63598888,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155IQ44,飞洲国际大厦,商务住宅;楼宇;商住两用楼宇,120203,零陵路899-1号(上海体育馆地铁站1号口步行150米),121.437549,31.183243,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155ILPG,武康庭,商务住宅;楼宇;商务写字楼,120201,武康路374-378号,121.439048,31.206486,021-62475266,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00153A3C8,徐家汇花园,商务住宅;住宅区;住宅小区,120302,宛平南路255弄1-35号,121.447212,31.193540,,[],106593.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155KI2N,嘉汇广场,商务住宅;住宅区;住宅小区,120302,斜土路2601-2611号,121.443208,31.188127,,4.7,41447.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFFCLJHG,尚汇豪庭,商务住宅;住宅区;住宅小区,120302,华石路88号,121.429661,31.179437,021-64386666,[],133840.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFGL0EQX,东方曼哈顿,商务住宅;住宅区;住宅小区,120302,虹桥路168号(徐家汇地铁站3号口步行490米),121.433831,31.191094,,[],127262.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B0K2LRN7AY,西岸中环,商务住宅;商务住宅相关;商务住宅相关,120000,瑞宁路288号,121.468370,31.188181,4008036610,4.5,[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00152FBE3,中国科学院上海分院研究生公寓,商务住宅;住宅区;宿舍,120303,肇嘉浜路407号(嘉善路地铁站5号口步行210米),121.458228,31.201649,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155QJ5E,均瑶国际广场,商务住宅;楼宇;商务写字楼,120201,肇嘉浜路789号(肇嘉浜路地铁站4号口步行280米),121.449254,31.198244,021-64229991,4.9,[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155R0HV,圣爱大厦,商务住宅;楼宇;商务写字楼,120201,漕溪北路88号(徐家汇地铁站8号口步行170米),121.437325,31.191849,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155NEP5,华山花苑,商务住宅;住宅区;住宅小区,120302,华山路1639号(交通大学地铁站7号口步行160米),121.435490,31.203559,,[],83712.00,金融住宿政府|商务产业,上海市,上海市,长宁区
B001550C6Q,腾飞大厦,商务住宅;楼宇;商务写字楼,120201,天钥桥路333号(上海体育场地铁站3号口步行470米),121.442342,31.188235,021-61546121,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFH0UFZW,尚海湾豪庭1期,商务住宅;住宅区;住宅小区,120302,凯滨路19弄1-16号,121.459020,31.178734,,[],127415.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B0G0RREPTV,上海徐家汇A.T.HOUSE嘉邸酒店,住宿服务;宾馆酒店;五星级宾馆|商务住宅;楼宇;商务写字楼,100102|120201,南丹路15号(徐家汇地铁站1号口步行160米),121.435537,31.189336,021-64680606,4.6,[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFGLXASH,尚海湾豪庭3期,商务住宅;住宅区;住宅小区,120302,东安路888弄,121.461155,31.180801,,[],192223.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B0K12ZA68O,上海徐家汇中心城际酒店,住宿服务;宾馆酒店;宾馆酒店|商务住宅;商务住宅相关;商务住宅相关,100100|120000,中山西路1515号(宜山路地铁站5号口步行440米),121.423331,31.187363,021-33676868,4.7,[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155L3IU,天诚花苑,商务住宅;住宅区;住宅小区,120302,武夷路416弄1-3号,121.422673,31.212172,021-62516059,[],79012.00,金融住宿政府|商务产业,上海市,上海市,长宁区
B00155L2RN,名仕苑,商务住宅;住宅区;住宅小区,120302,广元西路88、98、108号,121.434811,31.196244,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155LDVQ,新华别墅,商务住宅;住宅区;别墅,120301,新华路329弄之15-71号,121.427294,31.201911,,[],82944.00,金融住宿政府|商务产业,上海市,上海市,长宁区
B0FFG39SDB,上海平安大厦,商务住宅;楼宇;商务写字楼,120201,凯滨路206号(龙华中路地铁站5号口步行210米),121.456279,31.182910,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00156D81E,日晖六村,商务住宅;住宅区;住宅小区,120302,斜土路1458弄(大木桥路地铁站3号口旁),121.461394,31.195142,,[],81648.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFF2KZTU,华苑大厦,商务住宅;住宅区;住宅小区,120302,凯旋路3500号(近华亭宾馆),121.433738,31.181592,,[],72131.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFF53V8H,汇银广场,商务住宅;楼宇;商住两用楼宇,120203,华山路2018号(徐家汇地铁站16号口步行120米),121.436928,31.197248,021-54072115,4.2,26664.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFJXDJ0F,瑞丽大厦,商务住宅;楼宇;商务写字楼,120201,淮海中路1325号(常熟路地铁站4号口步行90米),121.450018,31.212333,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B001533478,海丽花园,商务住宅;住宅区;住宅小区,120302,打浦路80弄1-3号(打浦桥地铁站2号口步行350米),121.469611,31.203450,,[],[],金融住宿政府|商务产业,上海市,上海市,黄浦区
B00155L3NU,天际花园,商务住宅;住宅区;住宅小区,120302,南丹东路99弄1-22号,121.444500,31.191564,,[],111044.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFGFJQAG,建国西路365弄小区,商务住宅;住宅区;住宅小区,120302,太原路与建国西路交叉口南60米,121.455368,31.203716,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00156O2R8,永康小区北区,商务住宅;住宅区;住宅小区,120302,永康路38号(陕西南路地铁站7号口步行420米),121.458083,31.211195,,[],[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00156O2YR,建业里,商务住宅;住宅区;住宅小区|购物服务;特色商业街;特色商业街,120302|061000,建国西路442号,121.451802,31.203688,,4.3,[],金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155LA4N,天平小区,商务住宅;住宅区;住宅小区,120302,天平路179弄1-32号,121.439194,31.198340,,[],128380.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
B00155L2MK,西木小区,商务住宅;住宅区;住宅小区,120302,零陵路400弄之1-57号,121.458635,31.194330,,[],96750.00,金融住宿政府|商务产业,上海市,上海市,徐汇区
