id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0015118DB,上海公安博物馆,科教文化服务;博物馆;博物馆,140100,瑞金南路518号,121.468314,31.198348,021-22025185;021-64720256,4.7,[],文化地标,上海市,上海市,徐汇区
B001575OGK,上海电影博物馆,科教文化服务;博物馆;博物馆,140100,漕溪北路595号A座(上海体育馆地铁站1号口步行450米),121.438473,31.186294,021-64268666,4.7,[],文化地标,上海市,上海市,徐汇区
B00156EGYU,钱学森图书馆,科教文化服务;博物馆;博物馆,140100,华山路1800号,121.435504,31.201055,021-62932068,4.6,[],文化地标|风景名胜|银发极客_科技体验,上海市,上海市,徐汇区
B00155HO84,中国科学院上海昆虫博物馆,科教文化服务;博物馆;博物馆,140100,枫林路300号,121.455224,31.193578,021-54924201;021-54924191,4.4,[],文化地标,上海市,上海市,徐汇区
B00155LL5X,上海工艺美术博物馆,科教文化服务;博物馆;博物馆,140100,汾阳路79号,121.454495,31.210087,021-64314074;021-64372509,4.4,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0I0NM6P0T,上海气象博物馆,科教文化服务;博物馆;博物馆,140100,蒲西路166号(徐家汇地铁站出入口步行150米),121.436219,31.190156,021-64389338,4.3,[],文化地标,上海市,上海市,徐汇区
B00155QHTA,上海土山湾博物馆,科教文化服务;博物馆;博物馆,140100,蒲汇塘路55号,121.435149,31.186616,021-54249688;021-54249968,4.2,[],文化地标,上海市,上海市,徐汇区
B00155LW7J,张乐平故居,科教文化服务;博物馆;博物馆,140100,五原路288弄3号,121.443329,31.212563,021-64183811,4.2,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0G2AODU45,URBANCROSS Gallery城市交集,科教文化服务;展览馆;展览馆|科教文化服务;博物馆;博物馆,140200|140100,淮海中路1846号(交通大学地铁站7号口步行420米),121.438336,31.204323,,4.2,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B00155LY0A,上海交通大学董浩云航运博物馆,科教文化服务;博物馆;博物馆,140100,华山路1954号,121.435326,31.200222,021-62932363;021-62932403,4.0,[],文化地标,上海市,上海市,徐汇区
B0FFF46DD8,上海电影广场海上五号棚,科教文化服务;博物馆;博物馆,140100,漕溪北路595号上海电影博物馆,121.438603,31.185917,021-64267777,4.2,133.00,文化地标,上海市,上海市,徐汇区
B0FFKJZ4DH,草婴书房,科教文化服务;博物馆;博物馆,140100,乌鲁木齐南路178号3号楼(衡山路地铁站1号口步行420米),121.448870,31.203077,19946177295,4.0,[],文化地标|独处品质空间,上海市,上海市,徐汇区
B00155FUUU,上海工艺美术博物馆办公室,科教文化服务;博物馆;博物馆,140100,汾阳路79号上海市工艺美术博物馆2层,121.454475,31.210075,021-64314074;021-64372509,3.7,[],文化地标,上海市,上海市,徐汇区
B00155FUUV,上海市工艺美术博物馆-多功能厅,科教文化服务;博物馆;博物馆,140100,汾阳路79号上海市工艺美术博物馆,121.454495,31.210363,,3.5,[],文化地标,上海市,上海市,徐汇区
B0IUFAXB5E,西班牙伊比利亚火腿博物馆,科教文化服务;博物馆;博物馆,140100,延安西路与安西路交叉口东120米,121.427725,31.209825,,2.6,[],文化地标,上海市,上海市,长宁区
B001570ML5,上海交通大学校史博物馆,科教文化服务;博物馆;博物馆,140100,华山路1954号(徐家汇地铁站16号口步行450米),121.435896,31.198877,021-62933035,3.9,[],文化地标,上海市,上海市,徐汇区
B0FFHUJR0I,上海钟表文化科普馆,科教文化服务;展览馆;展览馆,140200,中山南二路520号,121.460699,31.189354,021-54106727,4.3,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B0GKYHHXXS,宋庆龄文化空间,科教文化服务;展览馆;展览馆,140200,徐汇区五原路300号一层,121.442941,31.212088,,4.3,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B0FFFK31RD,田子坊艺术中心,科教文化服务;展览馆;展览馆,140200,打浦桥街道泰康路210弄2号乙二楼(田子坊前行50米),121.469151,31.208221,,4.2,[],文化地标|银发极客_科技体验,上海市,上海市,黄浦区
B0FFGYMWE6,云艺术中心,科教文化服务;展览馆;展览馆,140200,宜山路407号喜盈门国际建材品牌中心3楼,121.429034,31.186403,021-54503282,3.2,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B00156R4Q0,瑞金医院院史陈列馆,科教文化服务;展览馆;展览馆,140200,瑞金二路197号瑞金医院16号楼,121.467487,31.212132,,4.3,[],文化地标|银发极客_科技体验,上海市,上海市,黄浦区
B0FFHR43YG,Hi艺术中心hiart space,科教文化服务;展览馆;展览馆,140200,龙腾大道3398号龙美术馆西配楼,121.464729,31.184009,,3.4,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B0I6JU38TF,积庆堂,风景名胜;风景名胜;风景名胜|科教文化服务;展览馆;展览馆,110200|140200,武康路372号,121.439612,31.206817,,4.1,[],文化地标|风景名胜|银发极客_科技体验,上海市,上海市,徐汇区
B0FFGJ9EF8,金城艺术画廊,科教文化服务;展览馆;展览馆,140200,文定路218号C栋C127承接大型壁画酒店家居配画个性化私人定制,121.431353,31.186146,18317032098,3.9,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,徐汇区
B0JKL75SK7,上海涌禄·极合展厅,科教文化服务;展览馆;展览馆,140200,文定路258号,121.430795,31.185245,15618631949,4.0,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
