id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B001550YMG,得和茶馆(建国西路店),餐饮服务;茶艺馆;茶艺馆|餐饮服务;中餐厅;中餐厅,050600|050100,建国西路135号卢湾区体育中心综合楼2层,121.463841,31.207042,021-54681117,4.4,151.00,社交餐饮|独处品质空间,上海市,上海市,黄浦区
B00155HAXI,Coffee Tree(武康路店),餐饮服务;外国餐厅;西餐厅(综合风味),050201,武康路376号武康庭1层,121.439024,31.206578,021-64660361,4.6,161.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0G3UO3SL6,PS.Cafe(港汇恒隆广场店),餐饮服务;外国餐厅;西餐厅(综合风味)|餐饮服务;咖啡厅;咖啡厅,050201|050500,虹桥路1号港汇恒隆广场南座2层202号,121.437747,31.194363,021-54488187;15021066829,4.3,148.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0FFHSJI5R,古悦面包咖啡日料,餐饮服务;外国餐厅;日本料理|餐饮服务;咖啡厅;咖啡厅,050202|050500,零陵路598-1号,121.448788,31.188242,021-54893698,4.3,49.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0HGA60VU8,PAOPAO Bakery&Cafe(港汇店),餐饮服务;快餐厅;快餐厅|餐饮服务;糕饼店;糕饼店,050300|050800,港汇恒隆广场虹桥路1号负一楼105B(泡泡玛特对面),121.437564,31.195146,19921180593,4.6,51.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0LGPZ7NBT,瑞幸咖啡,餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,永嘉路5号后门旁,121.465449,31.211523,4000100100,4.3,13.00,社交餐饮|独处品质空间,上海市,上海市,黄浦区
B0LDH7H9CN,裕莲茶楼(上海徐家汇中心店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,虹桥路183号上海徐家汇中心商场四层406室,121.434935,31.193578,18021043974,4.3,27.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0I06STV82,luckin coffee 瑞幸咖啡(汇联商厦店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,天钥桥路90号,121.441492,31.192513,4000100100,4.3,17.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0LRDD765A,裕莲茶楼(上海One ITC店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,徐家汇街道One ITCLG1层,121.437902,31.197203,18019387972,4.3,29.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0FFH9L4OD,BREAD ETC(襄阳南路店),餐饮服务;糕饼店;糕饼店|餐饮服务;休闲餐饮场所;休闲餐饮场所,050800|050400,建国西路304号一层,121.457947,31.205321,021-54198211;021-54198775,4.6,109.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0KRCSAKQ9,6茶共享茶室(汇银广场店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,华山路2088号汇银广场南楼1403室,121.437162,31.196766,19521487985,4.2,75.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0KR5RP8DN,GapDay coffee&cake空白天咖啡,餐饮服务;咖啡厅;咖啡厅,050500,襄阳南路316号,121.457682,31.209728,,4.2,56.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0LUF51YXH,CUBIC 3 三立方咖啡(永康路店),餐饮服务;咖啡厅;咖啡厅,050500,永康路58号,121.458307,31.211038,13321978417,4.7,41.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0L1DZTA8F,星巴克(幸福里店),餐饮服务;咖啡厅;星巴克咖啡,050501,长宁区番禺路381号1层111室,121.430161,31.204428,021-62161892,4.6,30.00,社交餐饮|独处品质空间,上海市,上海市,长宁区
B0KR7MJD0K,瑞幸咖啡(光启城家乐福店),餐饮服务;咖啡厅;咖啡厅,050500,宜山路455号大华光启城负一层120-121号,121.427616,31.183211,4000100100,4.2,11.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0KDDRBOG0,瑞幸咖啡(阳光滨江天地店),餐饮服务;咖啡厅;咖啡厅,050500,凯滨路38号负一层01室A13-2号,121.458630,31.186507,4000100100,4.2,13.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
B0K63SNIU3,一尺花园(世博文化公园店),餐饮服务;咖啡厅;咖啡厅,050500,世博大道2200号,121.469585,31.180085,15301672179,4.7,69.00,社交餐饮|独处品质空间,上海市,上海市,浦东新区
B0JUGSB6X8,星巴克臻选(上海OneITC店),餐饮服务;咖啡厅;星巴克咖啡,050501,华山路1901号ITC国贸汇LG1层LG1-126,121.437782,31.198105,021-64221571,4.3,44.00,社交餐饮|独处品质空间,上海市,上海市,徐汇区
