id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0FFLCV8CP,华为授权服务中心(徐汇漕溪北路),购物服务;家电电子卖场;手机销售|生活服务;维修站点;维修站点,060305|071200,漕溪北路575号(徐汇区区政府右侧斜对面),121.437232,31.188195,021-34771126,4.8,[],购物菜场|生活服务,上海市,上海市,徐汇区
B0FFKQNZ3N,Apple授权专营店(港汇恒隆广场店),购物服务;家电电子卖场;手机销售|购物服务;家电电子卖场;数码电子|生活服务;维修站点;维修站点,060305|060306|071200,虹桥路1号6楼608A(徐家汇地铁站出口步行80米),121.437189,31.194592,021-54561271,4.4,[],购物菜场|生活服务,上海市,上海市,徐汇区
B0FFIPPRIE,小飞手机平板电脑回收维修店,购物服务;家电电子卖场;手机销售|生活服务;维修站点;维修站点,060305|071200,漕溪北路41号136室(徐家汇地铁站9号口旁),121.439173,31.192170,,4.5,[],购物菜场|生活服务,上海市,上海市,徐汇区
B0JGDCH44F,亿通手机维修换屏,购物服务;家电电子卖场;手机销售|生活服务;维修站点;维修站点,060305|071200,泰康路282号(打浦桥地铁站1号口步行50米),121.468075,31.207534,13611611997,4.2,[],购物菜场|生活服务,上海市,上海市,黄浦区
B00155HMDE,上海天复文印数码科技有限公司,购物服务;专卖店;摄影器材店|购物服务;家电电子卖场;家电电子卖场|生活服务;维修站点;维修站点,061212|060300|071200,湖南路577号,121.433575,31.207844,,4.3,[],购物菜场|生活服务,上海市,上海市,长宁区
B0J0VZVYHF,苹果手机电脑维修服务中心(徐汇店),购物服务;家电电子卖场;手机销售|生活服务;维修站点;维修站点,060305|071200,天钥路250弄8号底层东部107,121.441805,31.189976,18018583168,3.8,[],购物菜场|生活服务,上海市,上海市,徐汇区
B0FFFCTOBT,齐飞电脑,购物服务;家电电子卖场;数码电子|生活服务;维修站点;维修站点,060306|071200,小木桥路368-1号(大木桥路地铁站3号口步行460米),121.459324,31.195391,,3.9,[],购物菜场|生活服务,上海市,上海市,徐汇区
B0FFHR5SJ7,苹果专卖(太平洋数码店),购物服务;家电电子卖场;手机销售|体育休闲服务;娱乐场所;游戏厅|购物服务;家电电子卖场;数码电子|生活服务;维修站点;维修站点,060305|080305|060306|071200,漕溪北路41号太平洋数码一期一楼111室,121.439358,31.192147,15000850816;15901712645,4.1,[],购物菜场|生活服务,上海市,上海市,徐汇区
B00156O2M4,电脑诊所(襄阳南路368号小区店),购物服务;家电电子卖场;手机销售|生活服务;维修站点;维修站点,060305|071200,襄阳南路364号,121.457862,31.207805,,4.1,[],购物菜场|生活服务,上海市,上海市,徐汇区
B0G2XLO82U,日月数码手机维修(凯旋路店),购物服务;家电电子卖场;数码电子|生活服务;维修站点;维修站点,060306|071200,凯旋路2302号,121.427513,31.186905,,4.1,[],购物菜场|生活服务,上海市,上海市,徐汇区
