id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B00155ITTE,新加坡泰园村酒楼(新华店),餐饮服务;中餐厅;海鲜酒楼,050119,新华路660号万宝大酒店2层,121.421125,31.205075,021-62801000;021-62828028,4.4,676.00,社交餐饮,上海市,上海市,长宁区
B00155M0AV,瓷园餐厅,餐饮服务;中餐厅;中餐厅|餐饮服务;茶艺馆;茶艺馆,050100|050600,定西路566号(近新华路),121.423132,31.203427,021-62818133,4.4,351.00,社交餐饮,上海市,上海市,长宁区
B00154DW44,雍福会,餐饮服务;中餐厅;上海菜,050107,永福路200号(原英国领事馆),121.442878,31.209361,021-54662727,4.6,645.00,社交餐饮,上海市,上海市,徐汇区
B0LGDY8XJZ,窄巷口生烫牛肉米线(复兴中路店),餐饮服务;中餐厅;中餐厅,050100,襄阳南路第一幼儿园南门旁(陕西南路地铁站7号口步行310米),121.457772,31.212567,,4.1,29.00,社交餐饮,上海市,上海市,徐汇区
B0FFI0Z5X4,泓和坊(小木桥路店),餐饮服务;中餐厅;中餐厅,050100,小木桥路456号(大木桥路地铁站3号口步行250米),121.460365,31.193695,18918977700,4.3,112.00,社交餐饮,上海市,上海市,徐汇区
B0LA119UUQ,渝拌川重庆凉拌菜(定西路店),餐饮服务;中餐厅;中餐厅,050100,上海城区定西路436号,121.423219,31.203293,18079410449,4.2,26.00,社交餐饮,上海市,上海市,长宁区
B0L2A51MZL,赣乡肴·爆炒江西菜(徐汇区店),餐饮服务;中餐厅;中餐厅,050100,枫林路街道肇嘉浜路831号,121.446336,31.197487,17521727223,4.2,40.00,社交餐饮,上海市,上海市,徐汇区
B0FFHJQM9C,老娘舅(上海天钥桥路嘉汇国际广场店),餐饮服务;中餐厅;中餐厅,050100,天钥桥路327号,121.443488,31.188638,17157422584,4.0,23.00,社交餐饮,上海市,上海市,徐汇区
B0FFGXICWB,江西小吃(凯旋路店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,凯旋路1669号天星城F1层,121.422081,31.194708,13564031595;15921016024,4.2,34.00,社交餐饮,上海市,上海市,徐汇区
B0FFJXS9AB,十月红燕金牌黄鱼面,餐饮服务;中餐厅;中餐厅,050100,番禺路517号(交通大学地铁站5号口步行430米),121.430177,31.202005,15026804269,4.5,36.00,社交餐饮,上海市,上海市,长宁区
B00155IVER,美粤华·精致粤菜,餐饮服务;中餐厅;综合酒楼|住宿服务;宾馆酒店;宾馆酒店,050101|100100,肇嘉浜路238号5楼(陕西南路口),121.461942,31.203457,021-64377979;021-64667777,4.4,308.00,社交餐饮|金融住宿政府,上海市,上海市,徐汇区
B001523912,老洋房花园饭店(绍兴路店),餐饮服务;中餐厅;中餐厅,050100,绍兴路27号,121.463134,31.208889,021-64333506;18916046082,4.5,197.00,社交餐饮,上海市,上海市,黄浦区
B00157HUIS,觅食老仁客,餐饮服务;中餐厅;中餐厅,050100,安顺路83弄名都公寓1楼,121.422271,31.200872,021-52818189;021-52897581;13916261146,4.2,107.00,社交餐饮,上海市,上海市,长宁区
B0LAF9XOZ1,云阿蛮云南生烫牛肉米线(绿地缤纷城店),餐饮服务;中餐厅;中餐厅,050100,东安路562号徐汇绿地缤纷城西区B1层,121.456870,31.183126,,4.1,31.00,社交餐饮,上海市,上海市,徐汇区
B0L0HZQD7I,盘点美味·糟醉坊,餐饮服务;中餐厅;中餐厅,050100,徐家汇路与打浦路交叉口西北120米,121.468525,31.206175,,2.4,44.00,社交餐饮,上海市,上海市,黄浦区
B00150C199,点石斋小宴,餐饮服务;中餐厅;中餐厅,050100,永嘉路320号(近襄阳南路),121.457296,31.208890,,4.2,135.00,社交餐饮,上海市,上海市,徐汇区
B0LRF57K24,鸡福宝(万火酒场),餐饮服务;中餐厅;中餐厅,050100,永嘉路与安亭路交叉口北20米,121.447560,31.204317,,4.5,188.00,社交餐饮,上海市,上海市,徐汇区
B0KD7CJF4I,佬陕腔调(华山路店),餐饮服务;中餐厅;中餐厅,050100,华山路1639号华山花苑(交通大学地铁站7号口步行60米),121.434800,31.203108,15021864770;18217790053,4.0,29.00,社交餐饮,上海市,上海市,长宁区
B0JKKXC9FA,曹师傅食堂,餐饮服务;中餐厅;中餐厅,050100,中山新村西门旁,121.454742,31.198211,,3.9,44.00,社交餐饮,上海市,上海市,徐汇区
B00151149F,恒悦轩精致香港粤菜(徐家汇店),餐饮服务;中餐厅;综合酒楼,050101,宛平路290号徐家汇公园内(近肇嘉浜路),121.443625,31.197470,021-54681900;021-64729778,4.6,296.00,社交餐饮,上海市,上海市,徐汇区
B0LGCOUGO4,刘文祥麻辣烫中山西路店,餐饮服务;中餐厅;特色/地方风味餐厅,050118,中山西路与宜山路交叉口西北120米,121.425788,31.183588,13120696908,4.3,26.00,社交餐饮,上海市,上海市,徐汇区
B0L1ZRNKGS,ZHAOKA炤喀台湾卤肉饭(腾飞店),餐饮服务;中餐厅;中餐厅,050100,天钥桥路333号腾飞广场1层119C号(很久以前隔壁),121.442425,31.187375,19916793342,4.1,30.00,社交餐饮,上海市,上海市,徐汇区
B0L05STMEK,南蛮子云南餐厅,餐饮服务;中餐厅;中餐厅,050100,建国西路132号(打浦桥地铁站4号口步行470米),121.464645,31.207595,13127718768,4.3,89.00,社交餐饮,上海市,上海市,黄浦区
B0KKDCWVH6,OMH趁肉达铁(南洋1931店),餐饮服务;中餐厅;中餐厅,050100,裕德路125号地上一层01部位F1-20,121.433662,31.185681,,4.1,51.00,社交餐饮,上海市,上海市,徐汇区
B0KAURN158,河南烩面,餐饮服务;中餐厅;中餐厅,050100,宋庆龄学校附属徐汇实验小学西南门旁,121.463641,31.188717,,4.1,20.00,社交餐饮,上海市,上海市,徐汇区
B0KAPHEHNS,同聚会棋牌(汇京国际广场店),餐饮服务;中餐厅;中餐厅,050100,淮海路555号汇京国际广场F2层,121.423362,31.196180,18616109331,4.4,63.00,社交餐饮,上海市,上海市,徐汇区
B0JU5Z5IBA,华亭宴,餐饮服务;中餐厅;中餐厅,050100,三汇路28号,121.433745,31.179377,,4.5,446.00,社交餐饮,上海市,上海市,徐汇区
B0FFGYXF4A,新大坊社区食堂(西镇小区店),餐饮服务;中餐厅;中餐厅,050100,法华镇路751弄1-45号西镇小区,121.421499,31.206793,13918283743,4.1,34.00,社交餐饮,上海市,上海市,长宁区
B0FFHULGEK,有甸自选餐厅(徐汇店),餐饮服务;中餐厅;中餐厅,050100,南丹东路300弄9号(徐家汇地铁站2号口步行190米),121.438533,31.188704,021-64221797,3.6,98.00,社交餐饮,上海市,上海市,徐汇区
B0LUS168LS,龙响炉端烧,餐饮服务;中餐厅;中餐厅,050100,嘉善路259弄嘉善老市37号c栋一楼,121.460854,31.207241,,4.3,708.00,社交餐饮,上海市,上海市,徐汇区
B0LUR7505U,陈记菜饭骨头汤,餐饮服务;中餐厅;中餐厅,050100,斜土路1628-1号,121.457922,31.196355,,4.0,26.00,社交餐饮,上海市,上海市,徐汇区
B0LGMUACWO,蜀叁香冒菜,餐饮服务;中餐厅;中餐厅,050100,徐虹中路与古宜路交叉口东北60米,121.424716,31.187861,16621576615;18221885339,4.1,33.00,社交餐饮,上海市,上海市,徐汇区
B0LB31DI7B,阿食云南生烫牛肉米线(徐汇店),餐饮服务;中餐厅;中餐厅,050100,华山路1988号百联徐汇商业广场B1层,121.436825,31.197675,,3.9,35.00,社交餐饮,上海市,上海市,徐汇区
B0LA9O1JAL,蒜苗王子兰州牛肉面(番禺路店),餐饮服务;中餐厅;清真菜馆,050121,番禺路234号,121.429225,31.206175,,4.1,29.00,社交餐饮,上海市,上海市,长宁区
B0L6LU910K,老上海健康早点,餐饮服务;中餐厅;中餐厅,050100,衡山路与高安路交叉口东20米,121.445725,31.203275,,4.3,12.00,社交餐饮,上海市,上海市,徐汇区
B0L3AZR8NE,明悦轩餐厅,餐饮服务;中餐厅;中餐厅,050100,陕西南路与肇嘉浜路交叉口东北60米,121.462525,31.203725,,3.7,167.00,社交餐饮,上海市,上海市,黄浦区
B0L3A1X5PQ,面老爹包子铺(漕溪北路店),餐饮服务;中餐厅;中餐厅,050100,裕德路45弄21号漕溪大楼,121.436129,31.183118,,4.0,11.00,社交餐饮,上海市,上海市,徐汇区
B0L2BCLPAC,谷辰砂锅拌饭(上海光启城店),餐饮服务;中餐厅;中餐厅,050100,宜山路455号光启城B2层(宜山路地铁站出入口旁),121.428161,31.184439,,3.6,28.00,社交餐饮,上海市,上海市,徐汇区
B0L0XCLBRI,霸碗(光启城店),餐饮服务;中餐厅;中餐厅,050100,宜山路455号,121.427225,31.183075,,3.8,[],社交餐饮,上海市,上海市,徐汇区
B0KRTSXH1F,瑞金医院国际住院部餐厅,餐饮服务;中餐厅;中餐厅,050100,广慈大道与培彬路交叉口东北40米,121.468675,31.212325,,4.4,40.00,社交餐饮,上海市,上海市,黄浦区
B0KANKQ397,江西小炒上海定西路店,餐饮服务;中餐厅;中餐厅,050100,华云大楼西北门旁,121.424312,31.207019,,3.9,46.00,社交餐饮,上海市,上海市,长宁区
B0K21LS6Z0,粉醉牛·湖南牛肉米粉(上生新所店),餐饮服务;中餐厅;中餐厅,050100,番禺路222弄55号B104单元,121.426727,31.207043,,4.0,23.00,社交餐饮,上海市,上海市,长宁区
B0JU2O8J8D,永昌盛大饭堂(宛平店),餐饮服务;中餐厅;中餐厅,050100,宛平南路200号阿耐思特岩田商务楼F1层,121.446099,31.193711,18916730391,4.0,25.00,社交餐饮,上海市,上海市,徐汇区
B0I05H43DX,厨宴(建安花园店),餐饮服务;中餐厅;中餐厅,050100,建国西路598号(肇嘉浜路地铁站2号口步行400米),121.449046,31.202184,,4.3,139.00,社交餐饮,上海市,上海市,徐汇区
B0FFLMMRMX,嘉食汇美食广场,餐饮服务;中餐厅;中餐厅,050100,天钥桥路327号嘉汇广场F栋,121.443372,31.188876,18605767451,4.1,[],社交餐饮,上海市,上海市,徐汇区
B0FFHPBXSV,重庆小面(漕溪大楼店),餐饮服务;中餐厅;中餐厅,050100,漕溪北路718-7号(上海体育馆地铁站8号口步行280米),121.436339,31.185182,15000336363,4.2,21.00,社交餐饮,上海市,上海市,徐汇区
B0FFGFB2GR,徐家汇街道老年助餐中心(番禺路店),餐饮服务;中餐厅;中餐厅,050100,番禺路1150号,121.426223,31.192199,,4.0,16.00,社交餐饮,上海市,上海市,徐汇区
B0FFIMI4JP,楠山宥渔(徐汇店),餐饮服务;中餐厅;海鲜酒楼,050119,南丹东路18号兴都大楼F2层,121.445717,31.190792,18917767717,4.5,183.00,社交餐饮,上海市,上海市,徐汇区
B0FFHRTZ37,逸春园海鲜酒家(宛平南路店),餐饮服务;中餐厅;海鲜酒楼,050119,宛平南路98号辛耕路路口永丰国际广场2层,121.445353,31.195003,021-64860670,4.6,238.00,社交餐饮,上海市,上海市,徐汇区
B0FFGWR8Z1,贝琳达老居羊肉馆,餐饮服务;中餐厅;特色/地方风味餐厅,050118,宛南二村20号101室贝琳达饭店,121.448800,31.182136,18217273747;19901693571,4.3,38.00,社交餐饮,上海市,上海市,徐汇区
B0FFG97ZBD,刘氏早餐(宛平店),餐饮服务;中餐厅;中餐厅,050100,宛平南路240弄8号(宛南综合市场内3号摊位),121.446058,31.193034,13391225283;18601700768,4.2,17.00,社交餐饮,上海市,上海市,徐汇区
B001573M46,家在塔啦烤全羊蒙古包餐厅(天钥桥路店),餐饮服务;中餐厅;西北菜,050115,天钥桥路214号哈尼美食广场4层,121.442021,31.191147,021-64177277;15301688538;17321473686,4.6,173.00,社交餐饮,上海市,上海市,徐汇区
B00154AF99,五观堂素食(新华路),餐饮服务;中餐厅;中式素菜馆,050120,新华路349号,121.425851,31.203277,021-62813695,4.5,122.00,社交餐饮,上海市,上海市,长宁区
