id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B00156EGYU,钱学森图书馆,科教文化服务;博物馆;博物馆,140100,华山路1800号,121.435504,31.201055,021-62932068,4.6,[],文化地标|风景名胜|银发极客_科技体验,上海市,上海市,徐汇区
B0G2AODU45,URBANCROSS Gallery城市交集,科教文化服务;展览馆;展览馆|科教文化服务;博物馆;博物馆,140200|140100,淮海中路1846号(交通大学地铁站7号口步行420米),121.438336,31.204323,,4.2,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B0FFHUJR0I,上海钟表文化科普馆,科教文化服务;展览馆;展览馆,140200,中山南二路520号,121.460699,31.189354,021-54106727,4.3,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B0GKYHHXXS,宋庆龄文化空间,科教文化服务;展览馆;展览馆,140200,徐汇区五原路300号一层,121.442941,31.212088,,4.3,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B0FFFK31RD,田子坊艺术中心,科教文化服务;展览馆;展览馆,140200,打浦桥街道泰康路210弄2号乙二楼(田子坊前行50米),121.469151,31.208221,,4.2,[],文化地标|银发极客_科技体验,上海市,上海市,黄浦区
B0FFGYMWE6,云艺术中心,科教文化服务;展览馆;展览馆,140200,宜山路407号喜盈门国际建材品牌中心3楼,121.429034,31.186403,021-54503282,3.2,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B00156R4Q0,瑞金医院院史陈列馆,科教文化服务;展览馆;展览馆,140200,瑞金二路197号瑞金医院16号楼,121.467487,31.212132,,4.3,[],文化地标|银发极客_科技体验,上海市,上海市,黄浦区
B0FFHR43YG,Hi艺术中心hiart space,科教文化服务;展览馆;展览馆,140200,龙腾大道3398号龙美术馆西配楼,121.464729,31.184009,,3.4,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B0I6JU38TF,积庆堂,风景名胜;风景名胜;风景名胜|科教文化服务;展览馆;展览馆,110200|140200,武康路372号,121.439612,31.206817,,4.1,[],文化地标|风景名胜|银发极客_科技体验,上海市,上海市,徐汇区
B0FFGJ9EF8,金城艺术画廊,科教文化服务;展览馆;展览馆,140200,文定路218号C栋C127承接大型壁画酒店家居配画个性化私人定制,121.431353,31.186146,18317032098,3.9,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,徐汇区
B0JKL75SK7,上海涌禄·极合展厅,科教文化服务;展览馆;展览馆,140200,文定路258号,121.430795,31.185245,15618631949,4.0,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B001515E5C,上海社会科学会堂,科教文化服务;会展中心;会展中心,140300,漕溪北路41号汇嘉大厦4层,121.43951,31.192219,,[],[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B0FFF2YL75,龙美术馆(西岸馆),科教文化服务;美术馆;美术馆,140400,龙腾大道3398号,121.464761,31.183954,021-64227636,4.8,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,徐汇区
B00153E97D,上海市徐汇区艺术馆,科教文化服务;美术馆;美术馆,140400,淮海中路1413号(常熟路地铁站7号口步行330米),121.448216,31.210155,021-64336516;021-64313738,4.4,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,徐汇区
B00155KHGE,上海中国画院美术馆,科教文化服务;美术馆;美术馆,140400,岳阳路197号,121.452796,31.204502,021-64749977,4.6,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,徐汇区
B0FFHGOWN5,Capsule,科教文化服务;美术馆;美术馆,140400,安福路275弄16号1层,121.441872,31.212759,021-64170700,4.2,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,徐汇区
B0LAXRZ02B,山也美术馆,科教文化服务;美术馆;美术馆,140400,番禺路222弄上生新所(东南角),121.428287,31.207632,,4.4,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,长宁区
B0FFKQOPRF,秋海堂艺术馆,科教文化服务;美术馆;美术馆|科教文化服务;培训机构;培训机构,140400|141400,衡山路525号凯文公寓副楼2层,121.443970,31.200601,13585668808,4.3,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,徐汇区
B0KADCTUR8,上海正好美术馆,科教文化服务;美术馆;美术馆,140400,番禺路300弄7号B幢,121.428370,31.204495,13918927754,4.4,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,长宁区
B0FFFY63FU,田子坊美术馆,科教文化服务;美术馆;美术馆,140400,210弄9号站(打浦桥地铁站1号口步行160米),121.469027,31.208676,15915555598,4.2,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,黄浦区
B0J02SP3J5,DOSE画廊,科教文化服务;美术馆;美术馆,140400,五原路212弄7号底楼花园(常熟路地铁站8号口步行430米),121.445396,31.212973,19121363485,4.1,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,徐汇区
B0FFK9TN8C,墨琛画廊,科教文化服务;美术馆;美术馆,140400,新华路430号,121.424170,31.204082,13247760255,4.0,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,长宁区
B0LKJH1MCU,原野上美术馆·KONG-Art Gallery,科教文化服务;美术馆;美术馆,140400,法华镇路525号二楼,121.425548,31.205145,,3.8,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,长宁区
B0MG6NH8BS,上海市徐汇区兆明工艺美术品经营部,科教文化服务;美术馆;美术馆,140400,大木桥路与医学院路交叉口西北80米,121.461038,31.201076,,1.6,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B0FFFTCSPN,上海明圆美术馆(暂停开放),科教文化服务;美术馆;美术馆,140400,复兴中路1199号明园商务中心A座地下一层,121.458872,31.212709,,4.3,[],文化地标|银发极客_科技体验|独处品质空间,上海市,上海市,徐汇区
B0FFMH4KQS,上海市徐汇区图书馆(徐家汇书院),科教文化服务;图书馆;图书馆,140500,漕溪北路158号(徐家汇地铁站出入口旁),121.437082,31.190430,021-64271320,[],[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B00155KHES,上海图书馆(淮海路馆),科教文化服务;图书馆;图书馆,140500,淮海中路1555号,121.444753,31.207334,021-64455555,[],[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B00150E486,上海图书馆(徐家汇藏书楼),科教文化服务;图书馆;图书馆,140500,漕溪北路80号(徐家汇地铁站8号口步行70米),121.437753,31.192096,021-64874072;021-64874095,4.3,[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B0IRRUGB7S,一见图书馆(滨江馆),科教文化服务;图书馆;图书馆,140500,瑞平路230号B1-005,121.455366,31.181667,,[],[],文化地标|银发极客_科技体验,上海市,上海市,徐汇区
B00156NSI9,上海市黄浦区明复图书馆,科教文化服务;图书馆;图书馆,140500,陕西南路235号,121.461927,31.209047,021-64370835,4.3,[],文化地标|银发极客_科技体验,上海市,上海市,黄浦区
