id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B0J19L582P,上海哈尔滨食品厂(汇金百货店),购物服务;专卖店;专营店|餐饮服务;糕饼店;糕饼店|购物服务;超级市场;超市|公司企业;公司;公司,061200|050800|060400|170200,天钥桥路40-90号汇联商厦,121.440042,31.195493,15800583674,4.2,[],社交餐饮|购物菜场,上海市,上海市,徐汇区
B00156QP4U,牛朋(大木桥路店),购物服务;综合市场;农副产品市场|餐饮服务;糕饼店;糕饼店,060703|050800,大木桥路97号(大木桥路与正阳路交叉口附近),121.461575,31.200566,021-54960023,4.0,24.00,社交餐饮|购物菜场,上海市,上海市,徐汇区
B0I2YZP9EG,BELLVILLES贝拉维拉(五原路店),购物服务;体育用品店;户外用品|购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;糕饼店;糕饼店,060907|061100|050800,五原路108号(常熟路地铁站8号口步行260米),121.446911,31.212957,18016239684,4.2,[],社交餐饮|购物菜场,上海市,上海市,徐汇区
B0FFGZMZN6,牛奶棚(枫林路店),购物服务;综合市场;农副产品市场|餐饮服务;糕饼店;糕饼店,060703|050800,枫林路251号,121.456238,31.195190,021-64436602,4.4,17.00,社交餐饮|购物菜场,上海市,上海市,徐汇区
B00156LVIV,汇京国际广场,购物服务;商场;普通商场,060102,虹桥路777号(虹桥路地铁站4号口步行190米),121.423612,31.195962,021-52801880;021-64878601;13482824576,4.6,[],购物菜场,上海市,上海市,徐汇区
B0I155TYLU,IM Shanghai长宁国际T7栋,购物服务;商场;商场,060100,IM Shanghai长宁国际北区,121.422375,31.198675,,4.2,[],购物菜场,上海市,上海市,长宁区
B0FFG95L4Z,家宁生活广场,购物服务;商场;普通商场,060102,大木桥路428号联友商务中心,121.462078,31.196395,,4.1,[],购物菜场,上海市,上海市,徐汇区
B00154DTEG,美罗城,购物服务;商场;购物中心,060101,肇嘉浜路1111号,121.439649,31.192944,021-64268888,4.8,[],购物菜场,上海市,上海市,徐汇区
B0L0713P8F,新六百YOUNG,购物服务;商场;商场|购物服务;服装鞋帽皮具店;服装鞋帽皮具店,060100|061100,衡山路932号,121.438800,31.195384,,4.2,[],购物菜场,上海市,上海市,徐汇区
B0I155TYLT,IM Shanghai长宁国际T6栋,购物服务;商场;商场,060100,IM Shanghai长宁国际南区,121.421777,31.198857,,4.2,[],购物菜场,上海市,上海市,长宁区
B0FFI9ZX8O,南洋1931,购物服务;商场;商场,060100,裕德路165号商场悦宝园旁边HAPE TY中岛小铺,121.433542,31.185925,021-64393333,4.6,[],购物菜场,上海市,上海市,徐汇区
B0FFKF29VF,加华广场,购物服务;商场;普通商场,060102,虹桥路808号融景·解园A8栋,121.424082,31.194569,,4.3,[],购物菜场,上海市,上海市,徐汇区
B0LKUCYEZB,FFC滨江悦里,购物服务;商场;商场,060100,瑞宁路2号,121.468738,31.192881,,4.0,[],购物菜场,上海市,上海市,徐汇区
B0KAFZHX3M,TRI PLACE三角地,购物服务;商场;普通商场,060102,新华路365弄6号楼101-102室,121.424857,31.202203,13621936368,3.8,[],购物菜场,上海市,上海市,长宁区
B00156ZP87,正大乐城,购物服务;商场;普通商场,060102,中山南二路699号,121.458140,31.186395,021-61956888;021-61956890,4.6,[],购物菜场,上海市,上海市,徐汇区
B00155I9QT,腾飞广场,购物服务;商场;普通商场,060102,天钥桥路333号(上海体育场地铁站3号口步行370米),121.442432,31.187895,,4.3,[],购物菜场,上海市,上海市,徐汇区
B00156ECCB,百联徐汇商业广场,购物服务;商场;普通商场,060102,华山路1988号,121.436927,31.197251,021-54070000;021-54070760,4.6,[],购物菜场,上海市,上海市,徐汇区
B0FFI123GJ,保利时光里,购物服务;商场;购物中心,060101,瑞平路230号,121.455048,31.181645,021-64223700,4.7,[],购物菜场,上海市,上海市,徐汇区
B001571EUI,新·淮海坊,购物服务;商场;普通商场,060102,凯旋路1580-1582号(虹桥路地铁站6号口旁),121.422257,31.196225,15221972623,4.3,[],购物菜场,上海市,上海市,长宁区
B00151CC90,飞洲国际广场(零陵路),购物服务;商场;购物中心,060101,零陵路899号(上海体育馆地铁站1号口旁),121.437551,31.183243,021-51506432;021-51509656,4.6,[],购物菜场,上海市,上海市,徐汇区
B0LRAU0S81,绿地缤纷城(徐汇店),购物服务;商场;购物中心,060101,东安路562号,121.456921,31.183799,021-33639688,4.7,[],购物菜场,上海市,上海市,徐汇区
B0JRXMTB8K,港汇恒隆广场北座,购物服务;商场;普通商场|购物服务;商场;购物中心,060102|060101,虹桥路一号,121.436572,31.195053,,4.5,[],购物菜场,上海市,上海市,徐汇区
B0JAL9GB9P,港汇恒隆广场南座,购物服务;商场;普通商场|购物服务;商场;购物中心,060102|060101,港汇恒隆广场,121.437590,31.194570,,4.5,[],购物菜场,上海市,上海市,徐汇区
B0HG6PDC2R,绿地缤纷城东区(绿地中心2期店),购物服务;商场;购物中心|购物服务;商场;普通商场,060101|060102,东安路562号(龙华中路地铁站6号口步行80米),121.457741,31.183768,,4.4,[],购物菜场,上海市,上海市,徐汇区
B0H6KUBJPN,One ITC,购物服务;商场;购物中心,060101,华山路1901号(近广元路),121.437968,31.197769,021-34012600,4.7,[],购物菜场,上海市,上海市,徐汇区
B0G26NKM7X,城开YOYO,购物服务;商场;普通商场,060102,徐家汇天钥桥路123号yoyo商场,121.442163,31.192478,021-64380318,4.5,[],购物菜场,上海市,上海市,徐汇区
B0FFL814VF,徐汇绿地缤纷城西区,购物服务;商场;购物中心|购物服务;商场;普通商场,060101|060102,东安路562号(龙华中路地铁站出入口步行110米),121.456403,31.183420,021-33639688,4.6,[],购物菜场,上海市,上海市,徐汇区
B0FFJDT9DX,汇金百货东区,购物服务;商场;购物中心|购物服务;专卖店;烟酒专卖店,060101|061210,肇嘉浜路1000号汇金百货5F层,121.440806,31.195352,,4.2,[],购物菜场,上海市,上海市,徐汇区
B0FFJA28LX,IM Shanghai长宁国际,商务住宅;楼宇;商住两用楼宇|购物服务;商场;普通商场,120203|060102,凯旋路1398号(虹桥路地铁站1号口步行200米),121.421507,31.199061,15000914929;18221922803,4.7,[],购物菜场|金融住宿政府|商务产业,上海市,上海市,长宁区
B0FFHOJ7FO,日月光中心东区,购物服务;商场;购物中心,060101,徐家汇路618(打浦桥地铁站1号口步行110米),121.469538,31.207491,021-60752196,4.3,[],购物菜场,上海市,上海市,黄浦区
B0FFF3A4ZF,徐汇TPY太平洋中心,购物服务;商场;商场,060100,肇嘉浜路1117号,121.439167,31.193012,,4.6,[],购物菜场,上海市,上海市,徐汇区
B0L03REKZ6,ITC Dining,购物服务;商场;商场,060100,虹桥路183号徐家汇中心F5层,121.434975,31.193625,,4.1,[],购物菜场,上海市,上海市,徐汇区
B0H6PKJGQ3,TWO itc,购物服务;商场;商场,060100,恭城路160号(徐家汇地铁站16号口步行240米),121.436235,31.196747,,4.4,[],购物菜场,上海市,上海市,徐汇区
B0H06SCKAQ,玖時活力中心,购物服务;商场;购物中心,060101,大木桥路18号(嘉善路地铁站出入口步行70米),121.460418,31.201497,,4.6,[],购物菜场,上海市,上海市,徐汇区
B0GRNLDRC3,美千居商业广场(华鼎大厦店),购物服务;商场;普通商场,060102,中山西路2368号(上海体育馆地铁站7号口步行490米),121.432271,31.180318,15757876792,4.4,[],购物菜场,上海市,上海市,徐汇区
B0FFL423QY,TWO itc,购物服务;商场;商场,060100,昭平路与恭城路交叉口东北80米,121.436226,31.196758,,4.4,[],购物菜场,上海市,上海市,徐汇区
B0FFHX900S,永新坊(天钥桥路店),购物服务;商场;购物中心,060101,天钥桥路149号(徐家汇地铁站14号口步行450米),121.443004,31.192152,021-33686262;021-33688938,4.6,[],购物菜场,上海市,上海市,徐汇区
B0FFFDPLAW,美罗城A区,购物服务;商场;商场,060100,肇嘉浜路1111-1号美罗城,121.439693,31.193435,,4.4,[],购物菜场,上海市,上海市,徐汇区
B0FFFDKQ9G,美罗城B区,购物服务;商场;商场,060100,肇嘉浜路1111号美罗城(徐家汇地铁站出入口旁),121.438917,31.192581,,4.3,[],购物菜场,上海市,上海市,徐汇区
B00155L9YH,美城天地,购物服务;商场;普通商场,060102,天钥桥路323号(近南丹东路),121.442271,31.188804,,4.3,[],购物菜场,上海市,上海市,徐汇区
B00155L3PH,汇联商厦(天钥桥路店),购物服务;商场;普通商场,060102,天钥桥路美罗城东南100米,121.441136,31.193057,021-64382288,4.6,[],购物菜场,上海市,上海市,徐汇区
B0G04K4NXK,SPACE(港汇恒隆广场),购物服务;商场;商场,060100,虹桥路1号港汇恒隆广场北座L255,121.436326,31.195072,021-66527060,3.4,[],购物菜场,上海市,上海市,徐汇区
B0LK7M2OIZ,日月光中心亚洲馆,购物服务;商场;购物中心,060101,徐家汇路与打浦路交叉口西北80米,121.469154,31.206127,,3.9,[],购物菜场,上海市,上海市,黄浦区
B0FFGWGY2S,绿地缤纷城(绿地中心国际广场店),购物服务;商场;购物中心|购物服务;商场;普通商场,060101|060102,东安路562号(龙华中路地铁站6号口步行70米),121.456748,31.183613,021-33639688,4.7,[],购物菜场,上海市,上海市,徐汇区
B00155G4GK,汇金百货,购物服务;商场;购物中心,060101,肇嘉浜路1000号,121.440280,31.195345,021-64269999,4.6,[],购物菜场,上海市,上海市,徐汇区
B0H31AXXAJ,FUSION BAY尚享汇橙生活,购物服务;商场;商场,060100,东安路888号,121.462489,31.181258,,4.0,[],购物菜场,上海市,上海市,徐汇区
B00155N7J7,东方商厦,购物服务;商场;购物中心,060101,漕溪北路8号(徐家汇地铁站11号口旁),121.437853,31.193238,13585514054;18616500605,4.6,[],购物菜场,上海市,上海市,徐汇区
B00155LW84,日月光中心,购物服务;商场;购物中心,060101,徐家汇路618号(打浦桥地铁站1号口旁),121.468491,31.206583,021-60752196;021-60878888;4001832230,4.8,[],购物菜场,上海市,上海市,黄浦区
B00155QPSL,上海港汇恒隆广场,购物服务;商场;购物中心,060101,衡山路838号2号initial,121.437217,31.194628,021-64070111;021-33268788,4.9,[],购物菜场,上海市,上海市,徐汇区
B0FFJ7WG26,红料理串串有瘾(淮海西路店),购物服务;商场;免税品店,060103,淮海西路555号汇京国际广场1层108室,121.423142,31.196139,021-52901722;021-54503277,4.3,87.00,购物菜场,上海市,上海市,徐汇区
B00155L9ZX,星游城(装修中),购物服务;商场;购物中心,060101,天钥桥路580号(上海体育场地铁站3号口步行90米),121.442355,31.185117,021-61619700,4.4,[],购物菜场,上海市,上海市,徐汇区
B001531B2D,上海六百(建设中),购物服务;商场;购物中心,060101,肇嘉浜路1068号(徐家汇地铁站14号口旁),121.439628,31.194607,,4.5,[],购物菜场,上海市,上海市,徐汇区
B0JGMA314Z,西岸中寰(建设中),购物服务;商场;商场,060100,瑞宁路288号西岸中环(龙华中路地铁站6号口步行320米),121.459857,31.184416,,4.3,[],购物菜场,上海市,上海市,徐汇区
B0G3A66G7J,乌中市集,购物服务;综合市场;蔬菜市场|购物服务;特殊买卖场所;特殊买卖场所|购物服务;便民商店/便利店;便民商店/便利店,060705|061300|060200,乌鲁木齐路318号(上海图书馆地铁站2号口步行430米),121.446425,31.211132,13788906676;19121497993,4.5,[],购物菜场,上海市,上海市,徐汇区
B00155EOL7,LAWSON罗森(太原路店),购物服务;便民商店/便利店;便民商店/便利店,060200,太原路76号,121.454641,31.207381,021-64370899;18918614090,4.2,[],购物菜场,上海市,上海市,徐汇区
B0FFHGNK8R,全家便利店(枫林路二店),购物服务;便民商店/便利店;便民商店/便利店,060200,枫林路181-2号附近,121.455098,31.196863,17621840823;18616367676,4.3,[],购物菜场,上海市,上海市,徐汇区
B0FFF5UEA6,ASUS华硕电脑售后中心数码配件(法华镇路店),购物服务;便民商店/便利店;便民商店/便利店,060200,红庄小区东北门旁,121.433894,31.202061,4001883607,4.3,[],购物菜场,上海市,上海市,长宁区
B0FFFY1GUR,全家便利店(陕西南路店),购物服务;便民商店/便利店;便民商店/便利店,060200,陕西南路271弄1-137号永嘉51街坊小区,121.462003,31.207750,021-64663094,4.3,[],购物菜场,上海市,上海市,黄浦区
B0JUVCFWW2,海角街市,购物服务;便民商店/便利店;便民商店/便利店,060200,永嘉路570号永嘉庭4号楼413号,121.451307,31.206177,18301770808,4.5,131.00,购物菜场,上海市,上海市,徐汇区
B00155IVT9,全家便利店(玉兰花苑店),购物服务;便民商店/便利店;便民商店/便利店,060200,蒲汇塘路52号,121.434807,31.186368,021-64398385;18321749558,4.3,[],购物菜场,上海市,上海市,徐汇区
B0HBXCPX85,好特卖HotMaxx(日月光中心伯爵居店),购物服务;服装鞋帽皮具店;品牌服装店|购物服务;便民商店/便利店;便民商店/便利店,061101|060200,徐家汇路618号日月光中心徐家汇区B2层B2-XJH08、09,121.468336,31.205765,021-20569088,4.5,[],购物菜场,上海市,上海市,黄浦区
B0FFIPPS8D,LAWSON罗森(嘉善路店),购物服务;便民商店/便利店;便民商店/便利店,060200,嘉善路101-103号底层,121.459305,31.211165,4008206390,4.3,[],购物菜场,上海市,上海市,徐汇区
B0FFG69TJN,全家便利店(长峰店),购物服务;便民商店/便利店;便民商店/便利店,060200,延安西路1088号长峰中心1层,121.430800,31.211724,021-62107431;18817768207,4.3,[],购物菜场,上海市,上海市,长宁区
B00155MOXL,全家便利店(小木桥路二店),购物服务;便民商店/便利店;便民商店/便利店,060200,,121.458624,31.196496,021-54565383,4.2,[],购物菜场,上海市,上海市,徐汇区
B0FFH3RTUS,全家便利店(斜土路六店),购物服务;便民商店/便利店;便民商店/便利店,060200,斜土路1404号(嘉善路地铁站4号口步行420米),121.461732,31.197851,17756350210,4.1,[],购物菜场,上海市,上海市,徐汇区
B0FFI9QJYM,全家便利店(漕溪北路七店),购物服务;便民商店/便利店;便民商店/便利店,060200,漕溪北路739号1层C单元,121.437159,31.184740,13818839094,4.3,[],购物菜场,上海市,上海市,徐汇区
B0FFI1AWMS,全家便利店(绿地中心国际广场店),购物服务;便民商店/便利店;便民商店/便利店,060200,东安路562号绿地缤纷城东区1F层,121.458006,31.183525,,4.4,[],购物菜场,上海市,上海市,徐汇区
B0FFIVBPVA,LAWSON罗森(华山路店),购物服务;便民商店/便利店;便民商店/便利店,060200,华山路1619号(交通大学地铁站6号口步行100米),121.434639,31.203483,021-62317652;4008206390,4.2,[],购物菜场,上海市,上海市,长宁区
B0FFGF3AZ9,LAWSON罗森(湖南店),购物服务;便民商店/便利店;便民商店/便利店,060200,淮海中路1640号(上海图书馆地铁站3号口步行90米),121.443111,31.207406,021-64372698;4008206390,4.2,[],购物菜场,上海市,上海市,徐汇区
B0FFIJKOXY,LAWSON罗森(东方商厦店),购物服务;便民商店/便利店;便民商店/便利店,060200,衡山路徐家汇1-1002号G座(徐家汇地铁站11号口旁),121.438311,31.193276,021-22057699,4.1,[],购物菜场,上海市,上海市,徐汇区
B0FFIUHTPI,全家便利店(瑞金店),购物服务;便民商店/便利店;便民商店/便利店,060200,瑞金二路130号,121.465813,31.211189,021-64713202,4.3,[],购物菜场,上海市,上海市,黄浦区
B0FFIGTXU1,全家便利店(定西路五店),购物服务;便民商店/便利店;便民商店/便利店,060200,定西路790号,121.423897,31.208925,021-61270657;021-61458625;15721036710,4.1,[],购物菜场,上海市,上海市,长宁区
B0FFF61DE1,全家便利店(虹桥路二店),购物服务;便民商店/便利店;便民商店/便利店,060200,虹桥路998号(虹桥路地铁站6号口步行280米),121.420398,31.195474,021-62146271,4.1,[],购物菜场,上海市,上海市,长宁区
B0I1TCA9Z1,LAWSON罗森(703号店),购物服务;便民商店/便利店;便民商店/便利店,060200,衡山路286号(衡山路地铁站1号口步行130米),121.445338,31.203279,021-64045279,4.1,[],购物菜场,上海市,上海市,徐汇区
B0FFF54HUN,全家便利店(森本大楼店),购物服务;便民商店/便利店;便民商店/便利店,060200,天钥桥路567号(上海体育场地铁站3号口步行170米),121.442966,31.186026,021-22057686;15800699416,4.2,[],购物菜场,上海市,上海市,徐汇区
B00155QDZF,7-ELEVEn(西华酒店店),购物服务;便民商店/便利店;7-ELEVEn便利店,060201,淮海西路1号上海西华酒店1层103室,121.434941,31.201815,021-62805471;021-64825471;19921517597,4.2,[],购物菜场,上海市,上海市,徐汇区
B0FFGZWZGT,乐驿商场,购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,060200|060400,宜山路600号(市六医院急诊底楼),121.423189,31.178508,,3.9,[],购物菜场,上海市,上海市,徐汇区
B00156YMEQ,全家便利店(乐山路三店),购物服务;便民商店/便利店;便民商店/便利店,060200,乐山路33-1,121.432460,31.196259,17521679408,4.2,[],购物菜场,上海市,上海市,徐汇区
