id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B00155IVER,美粤华·精致粤菜,餐饮服务;中餐厅;综合酒楼|住宿服务;宾馆酒店;宾馆酒店,050101|100100,肇嘉浜路238号5楼(陕西南路口),121.461942,31.203457,021-64377979;021-64667777,4.4,308.00,社交餐饮|金融住宿政府,上海市,上海市,徐汇区
B0FFLH2TVK,铁手咖啡制造局(metalhands2店),餐饮服务;咖啡厅;咖啡厅|政府机构及社会团体;政府及社会团体相关;政府及社会团体相关,050500|130000,永嘉路37号,121.462683,31.210508,13269918959,4.7,48.00,社交餐饮|金融住宿政府|独处品质空间,上海市,上海市,黄浦区
B0FFJA28LX,IM Shanghai长宁国际,商务住宅;楼宇;商住两用楼宇|购物服务;商场;普通商场,120203|060102,凯旋路1398号(虹桥路地铁站1号口步行200米),121.421507,31.199061,15000914929;18221922803,4.7,[],购物菜场|金融住宿政府|商务产业,上海市,上海市,长宁区
B0015355F2,上海市经济信息中心,政府机构及社会团体;政府机关;省直辖市级政府及事业单位|生活服务;信息咨询中心;信息咨询中心,130102|070200,华山路1076号,121.435897,31.211534,021-62589090,[],[],生活服务|金融住宿政府,上海市,上海市,长宁区
B00155BFF6,安亭居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,安亭路71号(衡山路地铁站1号口步行300米),121.447963,31.202876,021-64722150,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B00155ICHT,康平居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,康平路114号,121.441929,31.203066,021-64738025,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B001577AO0,文定居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,南丹路128弄之1-11号(徐家汇地铁站1号口步行490米),121.432534,31.189010,021-64872240,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B0FFI8F29H,谨斜居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,斜土路2167弄9号甲,121.449233,31.193578,021-64189587,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B00156GWV4,天平居委,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,天平路222弄3号(徐家汇地铁站16号口步行420米),121.438399,31.199073,021-62145706;021-62836471,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B00156ZZWT,上海市徐汇区天平街道宛平居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,吴兴路270弄8号,121.445009,31.199641,021-64720247,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B0LGTHWTOJ,新苑第一、二社区居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,钦州路920号2幢,121.425281,31.178654,021-54484269,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B00156O25I,新华居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,新华路365弄1号,121.425480,31.203203,021-52541395,[],[],生活服务|金融住宿政府,上海市,上海市,长宁区
B001525F6E,平江居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,肇嘉浜路661-665号(肇嘉浜路地铁站2号口步行230米),121.452855,31.200056,021-64045618,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B001571NFF,零陵居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,斜土路2590弄6号(上海体育场地铁站2号口步行230米),121.443766,31.187270,021-64380909,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B0G0USNPZP,恒益社区居民委员会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,斜土路1275弄-7号(嘉善路地铁站4号口步行460米),121.463406,31.199169,021-64033343,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B00155QFJZ,淮中社区居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,淮海中路1390弄1号(常熟路地铁站7号口步行190米),121.448451,31.211488,021-64716154,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B00155QIV1,肇东社区居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,瑞金二路410弄5-2号(打浦桥地铁站4号口步行70米),121.467026,31.206482,021-54650223,[],[],生活服务|金融住宿政府,上海市,上海市,黄浦区
B00155MO8V,陈家宅居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,中漕路92号,121.433518,31.183491,021-64279771,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B0015433EB,陈家巷居委会,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位,130106,华山路1533号(交通大学地铁站6号口步行250米),121.434143,31.204816,021-52307056;021-52541557,[],[],生活服务|金融住宿政府,上海市,上海市,长宁区
B0FFHRTJ5U,枫林路街道办事处,政府机构及社会团体;政府机关;乡镇级政府及事业单位,130105,小木桥路与中山南二路交叉口南80米,121.462753,31.189516,021-33638117,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B00155856L,斜土路街道办事处,政府机构及社会团体;政府机关;乡镇级政府及事业单位,130105,正阳路36号(嘉善路地铁站4号口步行360米),121.463619,31.200788,021-64045999,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B00154OQZA,天平路街道办事处,政府机构及社会团体;政府机关;乡镇级政府及事业单位,130105,余庆路21号(交通大学地铁站1号口步行480米),121.438877,31.203045,021-64150722;021-64370755,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B0I6HZMI2S,徐家汇街道办事处,政府机构及社会团体;政府机关;乡镇级政府及事业单位,130105,宜山路188号,121.430093,31.189890,,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B0FFJ08T8K,湖南路街道办事处,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关,130000,五原路287号,121.442339,31.211776,021-64373433,[],[],生活服务|金融住宿政府,上海市,上海市,徐汇区
B0KB4H1I3F,新华路街道办事处,政府机构及社会团体;政府机关;乡镇级政府及事业单位,130105,新华路569弄68号,121.421708,31.203216,021-62813399,[],[],生活服务|金融住宿政府,上海市,上海市,长宁区
B0I39A0KF6,上海市长宁区新华路街道办事处人民来访接待室,政府机构及社会团体;政府及社会团体相关;政府及社会团体相关,130000,新华路22号(交通大学地铁站5号口步行280米),121.432123,31.201616,,[],[],生活服务|金融住宿政府,上海市,上海市,长宁区
B00155ITJ1,武康大楼,商务住宅;住宅区;住宅小区,120302,湖南路街道淮海中路1850号,121.438278,31.204430,,4.8,[],文化地标|风景名胜|金融住宿政府|商务产业,上海市,上海市,徐汇区
B0FFFGH9OS,上海定龙旅馆,住宿服务;旅馆招待所;旅馆招待所,100200,凯旋路1362-1临(近虹桥路地铁站),121.420004,31.201048,021-62802007,5.0,[],金融住宿政府,上海市,上海市,长宁区
B0H251NC00,上海复兴公寓(延安西路店),住宿服务;住宿服务相关;住宿服务相关,100000,昭化路508弄50号新衡商务楼402室,121.422235,31.211028,"13122670115;+861056320612,41133",3.8,[],金融住宿政府,上海市,上海市,长宁区
