id,name,type,typecode,address,lng,lat,tel,rating,cost,group,pname,cityname,adname
B00156EGYU,钱学森图书馆,科教文化服务;博物馆;博物馆,140100,华山路1800号,121.435504,31.201055,021-62932068,4.6,[],文化地标|风景名胜|银发极客_科技体验,上海市,上海市,徐汇区
B00155LL5X,上海工艺美术博物馆,科教文化服务;博物馆;博物馆,140100,汾阳路79号,121.454495,31.210087,021-64314074;021-64372509,4.4,[],文化地标|风景名胜,上海市,上海市,徐汇区
B00155LW7J,张乐平故居,科教文化服务;博物馆;博物馆,140100,五原路288弄3号,121.443329,31.212563,021-64183811,4.2,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0I6JU38TF,积庆堂,风景名胜;风景名胜;风景名胜|科教文化服务;展览馆;展览馆,110200|140200,武康路372号,121.439612,31.206817,,4.1,[],文化地标|风景名胜|银发极客_科技体验,上海市,上海市,徐汇区
B00151EA79,上海宋庆龄故居纪念馆,风景名胜;风景名胜;红色景区,110210,淮海中路1843号,121.439062,31.204017,021-64747183,4.5,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0HATSXLKE,义勇军进行曲灌制地纪念馆,风景名胜;风景名胜;红色景区,110210,衡山路811号,121.441928,31.197851,,4.4,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0FFH9VT2B,柯灵故居,风景名胜;风景名胜;纪念馆,110204,复兴西路147号,121.442448,31.210553,19946177295,4.2,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0FFGXK5WR,徐光启纪念馆,风景名胜;风景名胜相关;旅游景点,110000,徐家汇街道南丹路17号(徐家汇地铁站1号口步行290米),121.434317,31.189282,021-64381780;021-64689252,4.2,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0LKAM81F5,周璇故居,风景名胜;风景名胜;纪念馆,110204,武康路与泰安路交叉口南20米,121.439189,31.206074,,4.0,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0FFIDFFZD,J.G Ballard故居,风景名胜;风景名胜相关;旅游景点,110000,番禺路508号,121.429765,31.200994,,4.2,[],文化地标|风景名胜,上海市,上海市,长宁区
B0FFHKOKY5,陈立夫故居,风景名胜;风景名胜;纪念馆,110204,武康路67号,121.440577,31.212647,,4.0,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0FFK4R6GL,宋子文故居,风景名胜;风景名胜;纪念馆,110204,永嘉路501号,121.452895,31.205920,,4.0,[],文化地标|风景名胜,上海市,上海市,徐汇区
B0FFHOQKOJ,中共一大会址纪念馆保管部,风景名胜;风景名胜;纪念馆,110204,淮海中路1834-1号附近,121.438664,31.204520,,4.0,[],文化地标|风景名胜,上海市,上海市,徐汇区
